Informazioni cronologiche,Your occupation,Your field of study/research,Your age,"From 1 to 5 (1 being not expert at all, 5 being extremely confident), how much experience do you have with SPARQL?","From 1 to 5 (1 being not expert at all, 5 being extremely confident), how well you know data visualizations (reasons for use, usefulness, functioning)",What was your first impression? Describe it with a single word,Navigating the website was easy ,The website structure was clear ,The access options were clear ,I was able to navigate the main pages without the user guide,"I understood the differences between the three main pages (catalogue, dashboard, documentation)",What dataset did you use? ,I was able to perform the task without the user guide,"How much thinking, deciding, or calculating was required to perform the task?",How much physical activity was required?,How much time pressure did you feel due to the pace at which the tasks or task elements occurred? ,How successful were you in accomplishing what you were asked to do?,How hard did you have to work (mentally and physically) to accomplish your level of performance?,"How irritated, stressed, and annoyed versus content, relaxed, and complacent did you feel during the task?",What dataset did you use? ,I was able to perform the task without the user guide,"How much thinking, deciding, or calculating was required to perform the task?",How much physical activity was required?,How much time pressure did you feel due to the pace at which the tasks or task elements occurred? ,How successful were you in accomplishing what you were asked to do?,How hard did you have to work (mentally and physically) to accomplish your level of performance?,"How irritated, stressed, and annoyed versus content, relaxed, and complacent did you feel during the task?", [Color picker], [Headings (Title & Subtitle)], [Introduction box], [Authors ], [Textbox ], [Counter ], [Linechart], [Barchart], [Doughnut chart], [Scatterplot], [Table], [Text search], [Delete option], [Reset option], [Save option], [Top/Down arrows (to arrange order)], [Result actions (Relations)], [Result combine (Relations)], [Color picker], [Headings (Title & Subtitle)], [Introduction box], [Authors ], [Textbox ], [Counter ], [Linechart], [Barchart], [Doughnut chart], [Scatterplot], [Table], [Text search], [Delete option], [Reset option], [Save option], [Top/Down arrows (to arrange order)], [Result actions (Relations)], [Combine actions (Relations)], [Color picker], [Headings (Title & Subtitle)], [Introduction box], [Authors ], [Textbox ], [Counter ], [Linechart], [Barchart], [Doughnut chart], [Scatterplot], [Table], [Text search], [Delete option], [Reset option], [Save option], [Top/Down arrows (to arrange order)], [Result actions (Relations)], [Combine actions (Relations)], [Color picker], [Headings (Title & Subtitle)], [Introduction box], [Authors ], [Textbox ], [Counter ], [Linechart], [Barchart], [Doughnut chart], [Scatterplot], [Table], [Text search], [Delete option], [Reset option], [Save option], [Top/Down arrows (to arrange order)], [Result actions (Relations)], [Combine actions (Relations)],"Please, use the following text box to let us know what kind of issues you experienced. Your contribution is greatly appreciated. ",I think that I would like to use this dashboard frequently,I found the dashboard unnecessarily complex,I thought the dashboard was easy to use,I think that I would need the support of a technical person to be able to use this dashboard,I found the various functions in this dashboard were well integrated,I thought there was too much inconsistency in this dashboard,I would imagine that most people would learn to use this dashboard very quickly,I found the dashboard very cumbersome to use,I felt very confident using the dashboard,I needed to learn a lot of things before I could get going with this dashboard
19/05/2023 17.17.14,Student,Languages & Linguistics,20-30,2,2,elegant,5,5,5,5,3,I used one of the proposed dataset,5,3,1,1,5,3,1,I used one of the proposed dataset,5,4,1,1,4,4,1,Very useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Very useful,Extremely useful,Extremely useful,Not at all complex,Not at all complex,Not at all complex,Not at all complex,Not at all complex,Not at all complex,Not at all complex,Not at all complex,Not at all complex,Not at all complex,Not at all complex,Moderately complex,Not at all complex,Not at all complex,Not at all complex,Not at all complex,Not at all complex,Not at all complex,Very consistent,Very consistent,Very consistent,Very consistent,Very consistent,Very consistent,Very consistent,Very consistent,Very consistent,Very consistent,Very consistent,Very consistent,Very consistent,Very consistent,Very consistent,Very consistent,Very consistent,Very consistent,Extremely aesthetically pleasing,Extremely aesthetically pleasing,Extremely aesthetically pleasing,Extremely aesthetically pleasing,Extremely aesthetically pleasing,Extremely aesthetically pleasing,Extremely aesthetically pleasing,Extremely aesthetically pleasing,Extremely aesthetically pleasing,Extremely aesthetically pleasing,Extremely aesthetically pleasing,Extremely aesthetically pleasing,Extremely aesthetically pleasing,Extremely aesthetically pleasing,Extremely aesthetically pleasing,Extremely aesthetically pleasing,Extremely aesthetically pleasing,Extremely aesthetically pleasing,,3,2,4,3,4,2,4,2,3,2
19/05/2023 17.20.00,Post--graduate student,Languages & Linguistics,20-30,1,1,Non intuitive,1,2,1,3,2,I used one of the proposed dataset,1,2,1,2,4,3,4,I used one of the proposed dataset,1,3,1,4,4,3,5,Moderately useful,Moderately useful,Moderately useful,Moderately useful,Moderately useful,Moderately useful,Moderately useful,Moderately useful,Moderately useful,Moderately useful,Moderately useful,Moderately useful,Moderately useful,Moderately useful,Moderately useful,Moderately useful,Moderately useful,Moderately useful,Moderately complex,Moderately complex,Moderately complex,Moderately complex,Moderately complex,Moderately complex,Moderately complex,Moderately complex,Moderately complex,Moderately complex,Moderately complex,Moderately complex,Moderately complex,Moderately complex,Moderately complex,Moderately complex,Moderately complex,Moderately complex,Moderately consistent,Moderately consistent,Moderately consistent,Moderately consistent,Moderately consistent,Moderately consistent,Moderately consistent,Moderately consistent,Moderately consistent,Moderately consistent,Moderately consistent,Moderately consistent,Moderately consistent,Moderately consistent,Moderately consistent,Moderately consistent,Moderately consistent,Moderately consistent,Moderately aesthetically pleasing,Moderately aesthetically pleasing,Moderately aesthetically pleasing,Moderately aesthetically pleasing,Moderately aesthetically pleasing,Moderately aesthetically pleasing,Moderately aesthetically pleasing,Moderately aesthetically pleasing,Moderately aesthetically pleasing,Moderately aesthetically pleasing,Moderately aesthetically pleasing,Moderately aesthetically pleasing,Moderately aesthetically pleasing,Moderately aesthetically pleasing,Moderately aesthetically pleasing,Moderately aesthetically pleasing,Moderately aesthetically pleasing,Moderately aesthetically pleasing,,1,5,2,4,2,4,1,3,1,4
19/05/2023 17.22.30,Student,Languages & Linguistics,20-30,2,2,Impressive,3,3,3,2,2,I used one of the proposed dataset,2,3,1,2,3,3,3,I used one of the proposed dataset,2,3,2,3,3,3,3,Moderately useful,Very useful,Very useful,Very useful,Very useful,Very useful,Slightly useful,Slightly useful,Slightly useful,Slightly useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,3,5,3,2,2,2,2,5
19/05/2023 17.25.59,Student,Languages & Linguistics,20-30,2,1,Slow ,2,2,3,4,1,I used one of the proposed dataset,4,2,1,3,4,4,3,I used one of the proposed dataset,4,2,1,3,4,4,3,Slightly useful,Extremely useful,Very useful,Slightly useful,Very useful,Very useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Very useful,Extremely useful,Extremely useful,Not at all complex,Not at all complex,Not at all complex,Not at all complex,Not at all complex,,Slightly complex,Slightly complex,Slightly complex,Slightly complex,Slightly complex,Very complex,Not at all complex,Not at all complex,Not at all complex,Not at all complex,Very complex,Extremely complex,Extremely consistent,Extremely consistent,Extremely consistent,Very consistent,Extremely consistent,Extremely consistent,Extremely consistent,Extremely consistent,Very consistent,Very consistent,Extremely consistent,Extremely consistent,Extremely consistent,Extremely consistent,Extremely consistent,Extremely consistent,Extremely consistent,Extremely consistent,Extremely aesthetically pleasing,Moderately aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Not at all aesthetically pleasing,Slightly aesthetically pleasing,Not at all aesthetically pleasing,Not at all aesthetically pleasing,Not at all aesthetically pleasing,Not at all aesthetically pleasing,Moderately aesthetically pleasing,Moderately aesthetically pleasing,Slightly aesthetically pleasing,Moderately aesthetically pleasing,Moderately aesthetically pleasing,Moderately aesthetically pleasing,Moderately aesthetically pleasing,Moderately aesthetically pleasing,,1,4,1,4,4,3,1,3,1,5
19/05/2023 17.28.13,Student,Languages & Linguistics,20-30,2,1,slow,2,2,2,2,3,I used one of the proposed dataset,2,3,,3,2,4,4,,,,,,,,,Slightly useful,Moderately useful,Moderately useful,Moderately useful,Moderately useful,Moderately useful,Moderately useful,Moderately useful,Moderately useful,Moderately useful,,Slightly useful,Moderately useful,Moderately useful,Moderately useful,Moderately useful,Moderately useful,Moderately useful,Moderately complex,Moderately complex,Not at all complex,Not at all complex,Not at all complex,Moderately complex,Moderately complex,Moderately complex,Moderately complex,Moderately complex,Moderately complex,Moderately complex,Slightly complex,Slightly complex,Slightly complex,Very complex,Very complex,Very complex,Moderately consistent,Moderately consistent,Moderately consistent,Moderately consistent,Moderately consistent,Moderately consistent,Slightly consistent,Moderately consistent,Moderately consistent,Moderately consistent,Moderately consistent,Moderately consistent,Moderately consistent,Moderately consistent,Moderately consistent,Moderately consistent,Moderately consistent,Moderately consistent,Slightly aesthetically pleasing,Slightly aesthetically pleasing,Slightly aesthetically pleasing,Slightly aesthetically pleasing,Slightly aesthetically pleasing,Slightly aesthetically pleasing,Moderately aesthetically pleasing,Moderately aesthetically pleasing,Moderately aesthetically pleasing,Slightly aesthetically pleasing,Slightly aesthetically pleasing,Moderately aesthetically pleasing,Slightly aesthetically pleasing,Slightly aesthetically pleasing,Slightly aesthetically pleasing,Moderately aesthetically pleasing,Moderately aesthetically pleasing,Moderately aesthetically pleasing,Bugs. I copied and pasted queries from wikidata but it always gave me errors. ,2,2,2,3,3,2,3,2,2,3
19/05/2023 17.29.14,Student,Languages & Linguistics,20-30,3,2,Dark,4,4,3,2,3,I used one of the proposed dataset,2,3,1,2,3,4,3,I used one of the proposed dataset,,,,,,,,Moderately useful,Moderately useful,Moderately useful,Moderately useful,Moderately useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Extremely useful,Extremely useful,Extremely useful,Very useful,Extremely useful,Very useful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The first time I used there were some bugs, but I did not have any other problems",3,2,,1,4,1,3,1,3,1
19/05/2023 17.32.31,Student,Languages & Linguistics,20-30,1,1,confusing ,3,4,4,1,2,I used one of the proposed dataset,4,3,2,2,4,4,1,I used one of the proposed dataset,3,3,2,2,3,3,1,Slightly useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Not at all complex,Not at all complex,Not at all complex,Not at all complex,Not at all complex,Slightly complex,Slightly complex,Slightly complex,Slightly complex,Slightly complex,Slightly complex,Slightly complex,Slightly complex,Slightly complex,Slightly complex,Slightly complex,Slightly complex,Slightly complex,Slightly consistent,Very consistent,Very consistent,Very consistent,Very consistent,Very consistent,Very consistent,Very consistent,Very consistent,Very consistent,Very consistent,Very consistent,Very consistent,Very consistent,Very consistent,Very consistent,Very consistent,Very consistent,Not at all aesthetically pleasing,Slightly aesthetically pleasing,Slightly aesthetically pleasing,Slightly aesthetically pleasing,Slightly aesthetically pleasing,Slightly aesthetically pleasing,Slightly aesthetically pleasing,Slightly aesthetically pleasing,Slightly aesthetically pleasing,Slightly aesthetically pleasing,Slightly aesthetically pleasing,Slightly aesthetically pleasing,Slightly aesthetically pleasing,Slightly aesthetically pleasing,Slightly aesthetically pleasing,Slightly aesthetically pleasing,Slightly aesthetically pleasing,Slightly aesthetically pleasing,,1,2,3,3,4,3,2,2,3,2
19/05/2023 17.34.07,Student,Languages & Linguistics,20-30,2,2,Accessible,5,5,5,,5,I used one of the proposed dataset,,3,3,2,4,2,2,I used one of the proposed dataset,,5,4,3,3,3,3,Moderately useful,Very useful,Very useful,Very useful,Very useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Moderately useful,Extremely useful,Extremely useful,Very useful,Slightly useful,Very useful,Moderately useful,Very useful,Very useful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,4,2,4,1,3,2,3,4
19/05/2023 17.40.31,Student,Languages & Linguistics,20-30,2,1,Confusing,2,3,3,3,3,I used one of the proposed dataset,3,2,1,2,4,3,4,,,,,,,,,Moderately useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Extremely useful,Very useful,Extremely useful,Very useful,Very useful,Very useful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,2,3,2,3,2,3,1
19/05/2023 17.41.46,Student,Languages & Linguistics,20-30,1,1,not useful ,2,2,4,1,4,I used one of the proposed dataset,1,5,1,5,1,4,5,I used one of the proposed dataset,1,5,1,5,1,5,5,Not at all useful,Slightly useful,Slightly useful,Slightly useful,Slightly useful,Not at all useful,Not at all useful,Not at all useful,Not at all useful,Not at all useful,Not at all useful,Not at all useful,Not at all useful,Not at all useful,Not at all useful,Not at all useful,Not at all useful,Not at all useful,Not at all complex,Not at all complex,Not at all complex,Not at all complex,Not at all complex,Moderately complex,Very complex,Very complex,Very complex,Very complex,Moderately complex,Moderately complex,Moderately complex,Very complex,Very complex,Very complex,Very complex,Very complex,Moderately consistent,Moderately consistent,Moderately consistent,Moderately consistent,Moderately consistent,Moderately consistent,Moderately consistent,Moderately consistent,Moderately consistent,Moderately consistent,Moderately consistent,Moderately consistent,Moderately consistent,Moderately consistent,Moderately consistent,Moderately consistent,Moderately consistent,Moderately consistent,Not at all aesthetically pleasing,Not at all aesthetically pleasing,Not at all aesthetically pleasing,Not at all aesthetically pleasing,Not at all aesthetically pleasing,Not at all aesthetically pleasing,Not at all aesthetically pleasing,Not at all aesthetically pleasing,Not at all aesthetically pleasing,Not at all aesthetically pleasing,Not at all aesthetically pleasing,Not at all aesthetically pleasing,Not at all aesthetically pleasing,Not at all aesthetically pleasing,Not at all aesthetically pleasing,Not at all aesthetically pleasing,Not at all aesthetically pleasing,Not at all aesthetically pleasing,it's quite complicated ,1,4,2,5,3,2,1,4,1,5
19/05/2023 17.43.22,Post--graduate student,Languages & Linguistics,20-30,1,1,complex,3,4,3,3,3,I used one of the proposed dataset,4,3,1,1,4,3,3,I used one of the proposed dataset,3,4,2,2,3,3,3,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very complex,Very complex,Very complex,Very complex,Very complex,Very complex,Very complex,Very complex,Very complex,Very complex,Very complex,Very complex,Very complex,Very complex,Very complex,Very complex,Very complex,Very complex,Very consistent,Very consistent,Very consistent,Very consistent,Very consistent,Very consistent,Very consistent,Very consistent,Very consistent,Very consistent,Very consistent,Very consistent,Very consistent,Very consistent,Very consistent,Very consistent,Very consistent,Very consistent,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,,2,2,4,2,4,2,4,3,2,3
19/05/2023 17.43.31,Student,Languages & Linguistics,20-30,1,1,New,3,3,3,3,3,I used one of the proposed dataset,2,4,2,3,4,3,3,I used one of the proposed dataset,2,,2,3,4,3,3,Slightly useful,Moderately useful,Very useful,Very useful,Slightly useful,Very useful,Extremely useful,Extremely useful,Extremely useful,Moderately useful,Extremely useful,Slightly useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Very useful,Very useful,Not at all complex,Not at all complex,Not at all complex,Not at all complex,Not at all complex,Not at all complex,Not at all complex,Not at all complex,Not at all complex,Slightly complex,Not at all complex,Slightly complex,Not at all complex,Not at all complex,Not at all complex,Not at all complex,Slightly complex,Slightly complex,Slightly consistent,Slightly consistent,Moderately consistent,Moderately consistent,Moderately consistent,Moderately consistent,Moderately consistent,Moderately consistent,Moderately consistent,Slightly consistent,Very consistent,Slightly consistent,Very consistent,Very consistent,Very consistent,Very consistent,Moderately consistent,Moderately consistent,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Slightly aesthetically pleasing,Slightly aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,The charts sometimes have bugs and don't work properly (I pick the barchart and it shows me the linechart for instance),2,2,3,2,3,2,3,2,3,2
